08-17 04:41 INFO     Initialising repertoire with random population
08-17 04:53 INFO     Max Quality Bin (16, 15)
08-17 04:53 INFO     Min Quality -1.3825127567207098
08-17 04:53 INFO     Min Quality Bin (31, 14)
08-17 04:53 INFO     Number of genomes 321
08-17 04:53 INFO     Mean quality -0.5776181378762714
08-17 04:53 INFO     
08-17 04:53 INFO     Number of better genomes found in this iteration 5
08-17 04:53 INFO     Total quality increase by better genomes in this iteration 0.36854998726786276
08-17 04:53 INFO     Normalised quality increase by better genomes in this iteration 0.07370999745357255
08-17 04:53 INFO     Number of new genomes added in this iteration 3

08-17 04:53 INFO     Iteration 28
08-17 04:53 INFO     Repertoire Metrics
08-17 04:53 INFO     Total Quality -193.3825983120455
08-17 04:53 INFO     Max Quality -0.03876079245915909
08-17 04:53 INFO     Max Quality Bin (16, 15)
08-17 04:53 INFO     Min Quality -1.3825127567207098
08-17 04:53 INFO     Min Quality Bin (31, 14)
08-17 04:53 INFO     Number of genomes 332
08-17 04:53 INFO     Mean quality -0.5824777057591732
08-17 04:53 INFO     
08-17 04:53 INFO     Number of better genomes found in this iteration 9
08-17 04:53 INFO     Total quality increase by better genomes in this iteration 0.8859384001575199
08-17 04:53 INFO     Normalised quality increase by better genomes in this iteration 0.09843760001750221
08-17 04:53 INFO     Number of new genomes added in this iteration 11

08-17 04:53 INFO     Iteration 29
08-17 04:54 INFO     Repertoire Metrics
08-17 04:54 INFO     Total Quality -200.67161994280943
08-17 04:54 INFO     Max Quality -0.03876079245915909
08-17 04:54 INFO     Max Quality Bin (16, 15)
08-17 04:54 INFO     Min Quality -1.3825127567207098
08-17 04:54 INFO     Min Quality Bin (31, 14)
08-17 04:54 INFO     Number of genomes 341
08-17 04:54 INFO     Mean quality -0.5884798238792065
08-17 04:54 INFO     
08-17 04:54 INFO     Number of better genomes found in this iteration 3
08-17 04:54 INFO     Total quality increase by better genomes in this iteration 0.10246120084215221
08-17 04:54 INFO     Normalised quality increase by better genomes in this iteration 0.03415373361405074
08-17 04:54 INFO     Number of new genomes added in this iteration 9

08-17 04:54 INFO     Iteration 30
08-17 04:54 INFO     Repertoire Metrics
08-17 04:54 INFO     Total Quality -205.89668263380054
08-17 04:54 INFO     Max Quality -0.03876079245915909
08-17 04:54 INFO     Max Quality Bin (16, 15)
08-17 04:54 INFO     Min Quality -1.3825127567207098
08-17 04:54 INFO     Min Quality Bin (31, 14)
08-17 04:54 INFO     Number of genomes 347
08-17 04:54 INFO     Mean quality -0.5933621977919323
08-17 04:54 INFO     
08-17 04:54 INFO     Number of better genomes found in this iteration 5
08-17 04:54 INFO     Total quality increase by better genomes in this iteration 0.17090569714289125
08-17 04:54 INFO     Normalised quality increase by better genomes in this iteration 0.03418113942857825
08-17 04:54 INFO     Number of new genomes added in this iteration 6

08-17 04:54 INFO     Saving repertoire for iteration 30

08-17 04:54 INFO     Iteration 31
